# Start logging at 2022-02-10 06:58:52 Tokyo Standard Time
[06:58:52]  chef_zack: Pog
[12:09:35]  chef_zack: he showed his bags of money idk if he does
[12:09:43]  chef_zack: like ziploc bags
[12:09:48]  babsmcnh: lmao
[12:10:08]  babsmcnh: does he hide them in his mattress like mr krabs
[12:10:12]  babsmcnh: i hope so
[12:10:39]  chef_zack: isnt that like burning money cause  inflation every year it decreases the value
[12:10:58]  babsmcnh: zetto you should look straight at the camer a
[12:11:20]  babsmcnh: holy fuck.
[12:11:46]  babsmcnh: damn i missed the screenshot
[12:11:54]  babsmcnh: wait i got this
[12:12:08]  chef_zack: jerma Pog
[12:13:09]  babsmcnh: okay you look so fucking disappointed with this stare
[12:13:19]  babsmcnh: i'll put it in the discord LUL
[12:15:48]  chef_zack: if you use your keyboard every day, id say you can justify it
[12:15:56]  babsmcnh: sent it
[12:16:12]  chef_zack: well nobody needs anything
[12:16:16]  babsmcnh: show us the keycaps
[12:16:21]  babsmcnh: i love keycaps
[12:16:21]  laurabraus: but 150 is too much
[12:16:29]  chef_zack: you didnt need to buy 2 copies of fep
[12:16:31]  laurabraus: you could buy a whole gaming console for that
[12:16:36]  chef_zack: no LULW
[12:16:39]  babsmcnh: OMEGALUL
[12:16:42]  chef_zack: no you couldnt LULW
[12:17:22]  babsmcnh: the more i look at this picture the more you look like you're about the kill me dude LUL
[12:17:31]  babsmcnh: tf is fep
[12:18:05] disconnected
[12:18:05] Server connection timed out, reconnecting
[12:18:06] connected
[12:18:32]  musicelliott: Don’t forget handsome and cool
[12:22:25]  chef_zack: no
[12:22:25]  babsmcnh: nope
[12:22:41]  chef_zack: i dont think you've finished a run today
[12:24:17]  babsmcnh: whats tippy again
[12:24:23]  babsmcnh: tired
[12:24:45]  babsmcnh: zetto can you promise me something
[12:25:04]  babsmcnh: dont be like clint
[12:25:16]  babsmcnh: dont stop streaming for months
[12:25:19]  babsmcnh: like be like clint
[12:25:31]  babsmcnh: but stay consistent
[12:25:42]  babsmcnh: give us good content until then
[12:25:57]  babsmcnh: and dont say maybe
[12:26:00]  babsmcnh: ok ok
[12:26:19]  babsmcnh: i'll know you got a gf Sadge
[12:26:24]  babsmcnh: another soldier lost
[12:26:53]  babsmcnh: you'd be too embarrassed to stream
[12:27:09]  huckleberry262: imagine having a gf in 2022 LMFAO 💀💀💀💀
[12:27:14]  babsmcnh: OMEGALUL
[12:27:20]  babsmcnh: SadCatW
[12:27:53]  babsmcnh: god dark world
[12:28:00]  babsmcnh: good
[12:28:07]  babsmcnh: definetely not god lmao
[12:30:03]  babsmcnh: HERE
[12:30:21]  babsmcnh: sorry what were you talking about
[12:30:23]  babsmcnh: THESE
[12:30:27]  babsmcnh: hm?
[12:30:32]  babsmcnh: THIS
[12:30:40]  babsmcnh: sorry my hands just slipped
[12:31:42]  babsmcnh: okay you should practice getting the star
[12:31:45]  babsmcnh: if you have too many coins
[12:32:55]  babsmcnh: wait a sec you never answered my wuestion
[12:32:59]  babsmcnh: i just remembered it
[12:33:09]  babsmcnh: would you want to live in japan forever
[12:33:15]  babsmcnh: i asked it like 2 hours ago too lol
[12:33:34]  babsmcnh: not forced though
[12:33:39]  babsmcnh: like when ur older
[12:33:49]  babsmcnh: would u live in japan
[12:34:28]  babsmcnh: like 20 messages ago i said "and dont say maybe"
[12:34:35]  babsmcnh: just like clint Sadge
[12:34:48]  babsmcnh: lmao
[12:34:51]  babsmcnh: go to the bathroom
[12:35:04]  babsmcnh: yeyey
[12:35:12]  babsmcnh: wait a sec
[12:35:14]  babsmcnh: THESE
[12:35:19]  babsmcnh: there you go dude
[12:35:24]  babsmcnh: dont have to thank me
[12:35:30] This channel is intended for mature audiences.
[12:35:37] You already have a raid in progress.
[12:35:38]  babsmcnh: !raid1
[12:35:39]  nightbot: HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID HungryPaimon JAPAN MAN RAID
[12:35:54]  babsmcnh: bro are you sending us to porn?
[12:35:56]  babsmcnh: its working
[12:36:01]  babsmcnh: half way through
[12:36:22]  babsmcnh: any last words
[12:36:25]  babsmcnh: Pog
[12:36:38]  babsmcnh: thanks for pbing
[12:36:41]  babsmcnh: oh wait
[12:36:47]  babsmcnh: SadCatW
[12:36:56]  babsmcnh: bye
[12:37:05] Now hosting krystenxo.
[12:37:29] ktrzetto is now offline.
[15:09:07] krystenxo has gone offline. Exiting host mode.
